Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Azerbaijan,AZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39391924925,40418168682,31996789308,25190961047,20658827706,18601118783,19186921181,20647193889,22958395782,25034653525,28446401578,31975038896,35907280254,40725100374,46113109805,60162435045,83404506137,1.07072E+11,1.20933E+11,1.33318E+11,1.41498E+11,1.44514E+11,1.50414E+11,1.61703E+11,1.67897E+11,1.71585E+11,1.68387E+11,1.71588E+11,
Burundi,BDI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3611687223,3918379779,4048178945,3885879175,3816579393,3587603370,3360849228,3364018197,3562051418,3580034991,3630125324,3789181364,4018423184,4048397667,4360783813,4541607944,4934566046,5240763614,5603355977,5861174064,6236763762,6622226209,7044106411,7510336687,7969325800,7741573354,7793296739,7973191270,
Belgium,BEL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87076E+11,1.96846E+11,2.04415E+11,2.07265E+11,2.18507E+11,2.28384E+11,2.32446E+11,2.435E+11,2.50422E+11,2.62229E+11,2.86871E+11,2.98131E+11,3.14972E+11,3.22224E+11,3.36076E+11,3.49277E+11,3.73301E+11,3.9173E+11,4.08409E+11,4.10288E+11,4.36815E+11,4.55705E+11,4.71333E+11,4.86674E+11,4.99939E+11,5.12016E+11,5.25969E+11,5.44042E+11,
Benin,BEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4706554346,5068722234,5337601927,5783520744,6025938758,6523498026,6929832339,7452642551,7831926569,8376520572,9069163095,9770280734,10381010530,10952669662,11752340791,12338111333,13219119497,14383350251,15382623711,15860473457,16392960558,17227124155,18389481588,20029977418,21684553908,22379103358,23563236240,25387544731,
Burkina Faso,BFA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4808412462,5419099750,5555529168,5884583261,6088844517,6571158671,7428128269,8032514303,8713051672,9501391912,9894481756,10789241054,11431735283,12569430861,13493452593,15134014522,16574400246,17977728232,19667490921,20403830708,21762797285,23684085089,25676772179,27602824639,29313969112,30785886345,33028836070,35742091499,
Bangladesh,BGD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88395044692,94520597790,1.01937E+11,1.09279E+11,1.15947E+11,1.24427E+11,1.32429E+11,1.40743E+11,1.49636E+11,1.59021E+11,1.71248E+11,1.84044E+11,1.94032E+11,2.07281E+11,2.24139E+11,2.46472E+11,2.70994E+11,2.97844E+11,3.21949E+11,3.40761E+11,3.64141E+11,3.95684E+11,4.29253E+11,4.62416E+11,4.99245E+11,5.37727E+11,5.83327E+11,6.37078E+11,
Bulgaria,BGR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45257941966,42814942285,40606284213,40957052858,42589123347,44720930600,47038161234,47284665045,50706611649,47352157467,52108302451,55334468348,60552997883,64870712126,70399563769,78207864253,85994581286,96586503952,1.0736E+11,1.0531E+11,1.10446E+11,1.15193E+11,1.18416E+11,1.2039E+11,1.26667E+11,1.30542E+11,1.38995E+11,1.48228E+11,
Bahrain,BHR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11255108050,12935754982,14115761128,16311535424,16617019657,17630264882,18689947803,19597800847,20759410085,21983410784,23675279806,24818015161,26109731937,28234575456,31036186419,34203236183,37534482926,41728762476,45204453728,46704561332,49324077607,51341141015,54238348813,58099570205,61714863730,64169533255,67078185834,70937896902,
"Bahamas, The",BHS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5134700546,5083740545,5000710990,5135449711,5409891307,5764550546,6117697672,6350723137,6722426157,7312908246,7789649873,8176360940,8526407681,8586443503,8900435722,9498744738,10036985415,10453156815,10410514018,10051608006,10330934217,10608854836,11137769553,11271194466,11456496272,11701748236,11650809930,12030902236,
Bosnia and Herzegovina,BIH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3749129775,4623408016,8895769350,12159596617,14209042211,15811428949,17060638379,17842781261,19310487992,20215042212,23340292321,24398071622,27888062804,30811925282,33896585317,33737444115,34636959964,36525494285,37145790871,39027370633,39811614771,41195400185,43419784621,45969005951,
Belarus,BLR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55098350455,56249121080,52008338092,49199074220,44367300663,40582222304,42480120426,48132788890,52742181722,55369982843,59914476140,64175528936,68448234929,74730204590,85576770743,96633373360,1.09562E+11,1.22151E+11,1.37251E+11,1.3857E+11,1.51201E+11,1.62623E+11,1.68413E+11,1.7285E+11,1.7899E+11,1.74002E+11,1.7177E+11,1.79095E+11,
Belize,BLZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620147941.2,714250005,818629765.7,890704128.4,911100062.5,936094741.9,966797118.3,1018200193,1067750889,1179263251,1363126433,1464117553,1562705464,1742541799,1873678837,1983824884,2138456614,2219639824,2336255387,2369788374,2479892181,2585830300,2710828823,2778076367,2932351613,3065879183,3086735574,3187439318,
Bermuda,BMU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554988500,1549957914,1584342982,1670838771,1716628217,1829523585,1911367369,2033508194,2135744470,2241778545,2506413532,2748681686,2749634057,2900115311,3049030896,3199827285,3480978666,3675320494,3804672577,3630994134,3598375440,3550019929,3440624524,3408396102,,,,,
Bolivia,BOL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16428348333,17869169945,18577428835,19831429959,21198753317,22653310624,24072883763,25697924709,27283278483,27819052294,29165603759,30332541142,31563692262,33065954399,35393060031,38147113941,41205235584,44232663655,47873330022,49856209964,52547684328,56423688392,60406456610,65553554781,70373867341,74592283426,78765064175,83546110838,
Brazil,BRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98602E+11,1.04744E+12,1.06632E+12,1.14262E+12,1.22918E+12,1.31024E+12,1.36361E+12,1.43404E+12,1.45451E+12,1.48369E+12,1.57986E+12,1.63821E+12,1.71415E+12,1.76827E+12,1.92162E+12,2.04685E+12,2.19322E+12,2.38805E+12,2.55885E+12,2.57504E+12,2.80307E+12,2.97496E+12,3.08832E+12,3.23267E+12,3.30741E+12,3.2246E+12,3.15248E+12,3.24052E+12,
Barbados,BRB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2381849911,2364823789,2249789344,2331460582,2471194629,2573777298,2724709640,2902708924,3043963674,3100617275,3312386631,3307330377,3385016523,3527126597,3675100560,3944145488,4295766522,4487897874,4581570900,4432960094,4499012869,4622083018,4720458699,4797128257,4884104290,4981708069,5146531665,5291525431,
